"ticker","isin","name","price","currency","time","source"
"ABBV",NA,"AbbVie",246.11,"USD","06.08.2026 10:52","twelve_data_price"
"ADM",NA,"Admiral Group PLC",37.06,"GBP","05.08.2026 close","yahoo_fallback"
"RIO",NA,"ADR on Rio Tinto",101.51,"USD","06.08.2026 10:52","twelve_data_price"
"AES",NA,"AES Corp",14.695,"USD","06.08.2026 10:52","twelve_data_price"
"AMCR",NA,"Amcor",47.77,"USD","06.08.2026 10:52","twelve_data_price"
"KO",NA,"Coca-Cola",86.82,"USD","06.08.2026 10:52","twelve_data_price"
"CVS",NA,"CVS Health",99.13,"USD","06.08.2026 10:52","twelve_data_price"
"DVN",NA,"Devon Energy",42.08,"USD","06.08.2026 10:52","twelve_data_price"
"DX",NA,"Dynex Capital Inc",12.85,"USD","05.08.2026 close","yahoo_fallback"
"BEN",NA,"Franklin Resources",34.92,"USD","05.08.2026 close","yahoo_fallback"
"MBG.DE",NA,"Mercedes-Benz Group",47.26,"EUR","05.08.2026 close","yahoo_fallback"
"OMV.VI",NA,"OMV",63.65,"EUR","05.08.2026 close","yahoo_fallback"
"PK",NA,"Park Hotels & Resorts Inc",14.94,"USD","05.08.2026 close","yahoo_fallback"
"PFE",NA,"Pfizer",25.81,"USD","05.08.2026 close","yahoo_fallback"
"O",NA,"Realty Income",62.7,"USD","05.08.2026 close","yahoo_fallback"
"SVC",NA,"Service Properties Trust",7.88,"USD","05.08.2026 close","yahoo_fallback"
"TGT",NA,"Target Corp",147.7,"USD","05.08.2026 close","yahoo_fallback"
"VZ",NA,"Verizon",46.47,"USD","05.08.2026 close","yahoo_fallback"
"VOW3.DE",NA,"Volkswagen AG",76.08,"EUR","05.08.2026 close","yahoo_fallback"
"BNP.PA",NA,"BNP Paribas SA",112.12,"EUR","05.08.2026 close","yahoo_fallback"
"0291.HK",NA,"China Resources Beer",22.64,"HKD","05.08.2026 close","yahoo_fallback"
"CSG.AS",NA,"CSG N.V.",18.224,"EUR","05.08.2026 close","yahoo_fallback"
"PEN.PR",NA,"Photon Energy",6.58,"CZK","05.08.2026 close","yahoo_fallback"
"SOBA.DE","US00206R1023","AT&T Inc. (Tradegate / EUR)",19.768,"EUR","05.08.2026 close","yahoo_fallback"
"VUAG","IE00BFMXXD54","Vanguard S&P 500 UCITS ETF (USD) Acc",111.12,"GBP","05.08.2026 close","yahoo_fallback"
"EEWD","IE00BG11HV38","iShares MSCI World ESG Enhanced CTB",11.667,"USD","05.08.2026 close","yahoo_fallback"
"IWDE","IE00B441G979","iShares MSCI World EUR Hedged",120.66,"EUR","05.08.2026 close","yahoo_fallback"
"EDG2","IE00BHZPJ239","iShares MSCI EM ESG Enhanced",6.974,"USD","05.08.2026 close","yahoo_fallback"
"IGLO","IE00BKT6FT27","iShares Global Govt Bond",87.27,"USD","05.08.2026 close","yahoo_fallback"
"HYLE","IE00BJSFR200","iShares Global High Yield Corp Bond",NA,"EUR",NA,"snapshot_error"
"CORP","IE00BJSFQW37","iShares Global Corp Bond",89.35,"USD","05.08.2026 close","yahoo_fallback"
"EMES","IE00BKP5L730","iShares JP Morgan ESG USD EM Bond",4.402,"USD","05.08.2026 close","yahoo_fallback"
"IUKD","IE00B0M63060","iShares UK Dividend",1042.8,"GBP","05.08.2026 close","yahoo_fallback"
"SPYW","IE00B5M1WJ87","SPDR S&P EURO Dividend Aristocrats",31.03,"EUR","05.08.2026 close","yahoo_fallback"
"ZPRG","IE00B9CQXS71","SPDR S&P Global Dividend Aristocrats",NA,"USD",NA,"snapshot_error"
"EQDS","IE00BYYHSM20","iShares MSCI Europe Quality Dividend Advanced",627,"EUR","05.08.2026 close","yahoo_fallback"
"ISPA","DE000A0F5UH1","iShares STOXX Global Select Dividend 100 DE",39.84,"EUR","05.08.2026 close","yahoo_fallback"
"2B76","IE00BYZK4552","iShares Automation & Robotics UCITS ETF",18.614,"EUR","05.08.2026 close","yahoo_fallback"
"JEGP","IE0003UVYC20","JPM Global Equity Premium Income Active UCITS ETF - USD dist",1945.6,"USD","05.08.2026 close","yahoo_fallback"
"VHYL","IE00B8GKDB10","Vanguard FTSE All-World High Dividend Yield UCITS ETF",69.605,"GBP","05.08.2026 close","yahoo_fallback"
